date,yt_pred_time_trend_1_dummy,yt_pred_time_trend_2_dummy,yt_pred_time_trend_3_dummy,yt_true
1946-01-01,1095.0249999999992,1444.198616180507,1197.3892389014325,890
1946-02-01,1077.3934210526309,1417.7272045877276,1182.2558001361926,992
1946-03-01,1214.0776315789465,1545.5715803337537,1321.147433439697,979
1946-04-01,1322.1302631578938,1644.7843762768762,1431.116770390895,959
1946-05-01,1385.0249999999992,1698.83927674319,1495.6374952003105,1110
1946-06-01,1539.4986842105254,1844.473122881762,1651.4464499732087,1546
1946-07-01,1929.709210526315,2225.843808421344,2042.7015294464316,1539
1946-08-01,3034.4986842105254,3321.7934352765697,3148.2448388831363,3401
1946-09-01,2284.709210526315,2563.16412667662,2398.91848354648,2092
1946-10-01,1815.6565789473675,2085.271657162996,1930.038252910149,1436
1946-11-01,1636.130263157894,1896.9055003584456,1750.393620658352,1301
1946-12-01,1397.6039473684202,1649.5393429107253,1511.4582710016166,1287
1947-01-01,1220.817543859648,1464.4041988594968,1362.5325221780952,1488
1947-02-01,1203.1859649122798,1438.9149915567698,1344.924980777524,1517
1947-03-01,1339.8701754385957,1567.7415715928482,1481.374813379579,1707
1947-04-01,1447.922807017543,1667.9365718260235,1588.9346515632103,1729
1947-05-01,1510.817543859648,1722.9736765823898,1651.0781795389412,1788
1947-06-01,1665.2912280701746,1869.5897270110145,1804.542239412037,2008
1947-07-01,2055.501754385964,2251.9426168406494,2193.484725919339,2203
1947-08-01,3160.291228070175,3348.874447985927,3296.747744324005,3713
1947-09-01,2410.501754385964,2591.22734367603,2545.1733998891928,2946
1947-10-01,1941.4491228070167,2114.317078452459,2074.077482088588,2082
1947-11-01,1761.9228070175432,1926.933125937961,1892.2494646063983,2033
1947-12-01,1523.3964912280694,1680.5491727802937,1651.163031653153,1937
1948-01-01,1346.610087719297,1496.3962330191175,1500.118501467004,1711
1948-02-01,1328.978508771929,1471.889230006443,1480.424480637687,1775
1948-03-01,1465.6627192982446,1601.698014332574,1614.8201357448784,1902
1948-04-01,1573.715350877192,1702.875218855802,1720.358098367528,1846
1948-05-01,1636.610087719297,1758.894527902221,1780.5120527161594,2083
1948-06-01,1791.0837719298238,1906.4927826208984,1932.018840896037,2262
1948-07-01,2181.2942982456134,2289.827876740585,2319.036357644004,2193
1948-08-01,3286.083771929824,3387.741912175916,3420.4067082232177,3792
1948-09-01,2536.2942982456134,2631.077012156072,2666.971997896834,2343
1948-10-01,2067.241666666666,2155.148951222553,2194.0480161385403,2313
1948-11-01,1887.715350877192,1968.747202998108,2010.4242366325443,2179
1948-12-01,1649.1890350877184,1723.3454541304927,1767.574343589374,1975
1949-01-01,1472.4026315789465,1540.174718659369,1614.798655247182,1880
1949-02-01,1454.7710526315782,1516.6499199367477,1593.4057781957051,1930
1949-03-01,1591.4552631578938,1647.4409085529314,1726.134879014618,2060
1949-04-01,1699.507894736841,1749.6003173662118,1830.038589282872,1843
1949-05-01,1762.4026315789465,1806.6018307026832,1888.5905932109888,2052
1949-06-01,1916.8763157894728,1955.1822897114127,2038.527732904235,2039
1949-07-01,2307.0868421052623,2339.499588121153,2424.007903099452,2351
1949-08-01,3411.8763157894728,3438.395827846536,3523.8732090597973,3394
1949-09-01,2662.0868421052623,2682.7131321167444,2768.9657560484284,3581
1949-10-01,2193.034210526315,2207.7672754732785,2294.6013335390307,2489
1949-11-01,2013.5078947368413,2022.3477315388857,2109.569415215813,2468
1949-12-01,1774.9815789473676,1777.9281869613233,1865.343685289304,2134
1950-01-01,1598.1951754385957,1595.7396557802526,1711.2244619976543,1903
1950-02-01,1580.5635964912271,1573.1970613476833,1688.5203519306024,1719
1950-03-01,1717.247807017543,1704.9702542539198,1819.970521667822,1617
1950-04-01,1825.3004385964905,1808.1118673572528,1922.627602788265,1818
1950-05-01,1888.1951754385957,1866.0955849837767,1979.9652795024533,2067
1950-06-01,2042.668859649122,2015.6582482825595,2128.720393915653,2457
1950-07-01,2432.8793859649118,2400.957750982352,2513.0508407647053,2600
1950-08-01,3537.668859649122,3500.836194997788,3611.798725312768,3530
1950-09-01,2787.8793859649118,2746.1357035580486,2855.8061528229987,2693
1950-10-01,2318.8267543859643,2272.172051204635,2380.3889127690827,2448
1950-11-01,2139.3004385964905,2087.734711560295,2194.3364788352296,2250
1950-12-01,1900.7741228070167,1844.297371272785,1949.122535231966,1972
1951-01-01,1723.9877192982449,1663.091044381767,1794.047400197445,1682
1951-02-01,1706.3561403508763,1641.5306542392505,1770.4196803214031,1730
1951-03-01,1843.040350877192,1774.286051435539,1900.9785421835152,1814
1951-04-01,1951.0929824561397,1878.409868828925,2002.7766173627328,1900
1951-05-01,2013.9877192982449,1937.3757907455015,2059.287590069577,2051
1951-06-01,2168.461403508771,2087.9206583343366,2207.248302409316,2290
1951-07-01,2558.6719298245607,2474.202365324182,2590.816649118789,2599
1951-08-01,3663.461403508771,3575.0630136296704,3688.834735461154,3428
1951-09-01,2913.6719298245607,2821.344726479984,2932.1446666995703,2262
1951-10-01,2444.619298245613,2348.363278416623,2456.062232307722,2242
1951-11-01,2265.0929824561395,2164.9081430623355,2269.376905969817,2103
1951-12-01,2026.5666666666657,1922.4530070648784,2023.5623718963848,1825
1952-01-01,1849.7802631578936,1742.228884463913,1867.9189483255773,1670
1952-02-01,1832.1486842105253,1721.650698611449,1843.7552418471312,1681
1952-03-01,1968.832894736841,1855.3883000977903,1973.8104190407207,1713
1952-04-01,2076.8855263157884,1960.4943217812288,2075.137111485298,1954
1952-05-01,2139.780263157894,2020.4424479878576,2131.209003391385,1876
1952-06-01,2294.25394736842,2171.969519866745,2278.762936864247,2272
1952-07-01,2684.4644736842097,2559.2334311466434,2661.9568066407264,2612
1952-08-01,3789.25394736842,3661.076283742184,3759.63271798398,3590
1952-09-01,3039.4644736842097,2908.34020088255,3002.632776157166,2496
1952-10-01,2570.4118421052626,2436.340957109242,2526.27277063397,2441
1952-11-01,2390.885526315789,2253.868026045008,2339.3421750986,2340
1952-12-01,2152.359210526315,2012.3950943376024,2093.314673761585,2090
1953-01-01,1975.5728070175428,1833.1531760266896,1937.490584861076,1812
